Country Name,Country Code,Year,Population
Aruba,ABW,2016,104822
Afghanistan,AFG,2016,34656032
Angola,AGO,2016,28813463
Albania,ALB,2016,2876101
Andorra,AND,2016,77281
Arab World,ARB,2016,406452690
United Arab Emirates,ARE,2016,9269612
Argentina,ARG,2016,43847430
Armenia,ARM,2016,2924816
American Samoa,ASM,2016,55599
Antigua and Barbuda,ATG,2016,100963
Australia,AUS,2016,24210809
Austria,AUT,2016,8736668
Azerbaijan,AZE,2016,9757812
Burundi,BDI,2016,10524117
Belgium,BEL,2016,11331422
Benin,BEN,2016,10872298
Burkina Faso,BFA,2016,18646433
Bangladesh,BGD,2016,162951560
Bulgaria,BGR,2016,7127822
Bahrain,BHR,2016,1425171
"Bahamas, The",BHS,2016,391232
Bosnia and Herzegovina,BIH,2016,3516816
Belarus,BLR,2016,9501534
Belize,BLZ,2016,366954
Bermuda,BMU,2016,65341
Bolivia,BOL,2016,10887882
Brazil,BRA,2016,207652865
Barbados,BRB,2016,284996
Brunei Darussalam,BRN,2016,423196
Bhutan,BTN,2016,797765
Botswana,BWA,2016,2250260
Central African Republic,CAF,2016,4594621
Canada,CAN,2016,36264604
Central Europe and the Baltics,CEB,2016,102994343
Switzerland,CHE,2016,8373338
Channel Islands,CHI,2016,164541
Chile,CHL,2016,17909754
China,CHN,2016,1378665000
Cote d'Ivoire,CIV,2016,23695919
Cameroon,CMR,2016,23439189
"Congo, Dem. Rep.",COD,2016,78736153
"Congo, Rep.",COG,2016,5125821
Colombia,COL,2016,48653419
Comoros,COM,2016,795601
Cabo Verde,CPV,2016,539560
Costa Rica,CRI,2016,4857274
Caribbean small states,CSS,2016,7245472
Cuba,CUB,2016,11475982
Curacao,CUW,2016,159663
Cayman Islands,CYM,2016,60765
Cyprus,CYP,2016,1170125
Czech Republic,CZE,2016,10566332
Germany,DEU,2016,82348669
Djibouti,DJI,2016,942333
Dominica,DMA,2016,73543
Denmark,DNK,2016,5728010
Dominican Republic,DOM,2016,10648791
Algeria,DZA,2016,40606052
East Asia & Pacific (excluding high income),EAP,2016,2053299126
Early-demographic dividend,EAR,2016,3170657660
East Asia & Pacific,EAS,2016,2298726779
Europe & Central Asia (excluding high income),ECA,2016,413234935
Europe & Central Asia,ECS,2016,911686319
Ecuador,ECU,2016,16385068
"Egypt, Arab Rep.",EGY,2016,95688681
Euro area,EMU,2016,340617355
Eritrea,ERI,2016,
Spain,ESP,2016,46484062
Estonia,EST,2016,1315790
Ethiopia,ETH,2016,102403196
European Union,EUU,2016,511218960
Fragile and conflict affected situations,FCS,2016,499508468
Finland,FIN,2016,5495303
Fiji,FJI,2016,898760
France,FRA,2016,66859768
Faroe Islands,FRO,2016,49117
"Micronesia, Fed. Sts.",FSM,2016,104937
Gabon,GAB,2016,1979786
United Kingdom,GBR,2016,65595565
Georgia,GEO,2016,3719300
Ghana,GHA,2016,28206728
Gibraltar,GIB,2016,34408
Guinea,GIN,2016,12395924
"Gambia, The",GMB,2016,2038501
Guinea-Bissau,GNB,2016,1815698
Equatorial Guinea,GNQ,2016,1221490
Greece,GRC,2016,10775971
Grenada,GRD,2016,107317
Greenland,GRL,2016,56186
Guatemala,GTM,2016,16582469
Guam,GUM,2016,162896
Guyana,GUY,2016,773303
High income,HIC,2016,1242137612
"Hong Kong SAR, China",HKG,2016,7336600
Honduras,HND,2016,9112867
Heavily indebted poor countries (HIPC),HPC,2016,744602976
Croatia,HRV,2016,4174349
Haiti,HTI,2016,10847334
Hungary,HUN,2016,9814023
IBRD only,IBD,2016,4699231955
IDA & IBRD total,IBT,2016,6273584648
IDA total,IDA,2016,1574352693
IDA blend,IDB,2016,521159047
Indonesia,IDN,2016,261115456
IDA only,IDX,2016,1053193646
Isle of Man,IMN,2016,83737
India,IND,2016,1324171354
Not classified,INX,2016,
Ireland,IRL,2016,4755335
"Iran, Islamic Rep.",IRN,2016,80277428
Iraq,IRQ,2016,37202572
Iceland,ISL,2016,335439
Israel,ISR,2016,8546000
Italy,ITA,2016,60627498
Jamaica,JAM,2016,2881355
Jordan,JOR,2016,9455802
Japan,JPN,2016,126994511
Kazakhstan,KAZ,2016,17794055
Kenya,KEN,2016,48461567
Kyrgyz Republic,KGZ,2016,6079500
Cambodia,KHM,2016,15762370
Kiribati,KIR,2016,114395
St. Kitts and Nevis,KNA,2016,54821
"Korea, Rep.",KOR,2016,51245707
Kuwait,KWT,2016,4052584
Latin America & Caribbean (excluding high income),LAC,2016,562254848
Lao PDR,LAO,2016,6758353
Lebanon,LBN,2016,6006668
Liberia,LBR,2016,4613823
Libya,LBY,2016,6293253
St. Lucia,LCA,2016,178015
Latin America & Caribbean,LCN,2016,637663890
Least developed countries: UN classification,LDC,2016,979387925
Low income,LIC,2016,714022293
Liechtenstein,LIE,2016,37666
Sri Lanka,LKA,2016,21203000
Lower middle income,LMC,2016,2931075528
Low & middle income,LMY,2016,6202019744
Lesotho,LSO,2016,2203821
Late-demographic dividend,LTE,2016,2264568981
Lithuania,LTU,2016,2868231
Luxembourg,LUX,2016,582014
Latvia,LVA,2016,1959537
"Macao SAR, China",MAC,2016,612167
St. Martin (French part),MAF,2016,31949
Morocco,MAR,2016,35276786
Monaco,MCO,2016,38499
Moldova,MDA,2016,3551954
Madagascar,MDG,2016,24894551
Maldives,MDV,2016,427756
Middle East & North Africa,MEA,2016,436738031
Mexico,MEX,2016,127540423
Marshall Islands,MHL,2016,53066
Middle income,MIC,2016,5487997451
"Macedonia, FYR",MKD,2016,2081206
Mali,MLI,2016,17994837
Malta,MLT,2016,455356
Myanmar,MMR,2016,52885223
Middle East & North Africa (excluding high income),MNA,2016,373719055
Montenegro,MNE,2016,622303
Mongolia,MNG,2016,3027398
Northern Mariana Islands,MNP,2016,55023
Mozambique,MOZ,2016,28829476
Mauritania,MRT,2016,4301018
Mauritius,MUS,2016,1263473
Malawi,MWI,2016,18091575
Malaysia,MYS,2016,31187265
North America,NAC,2016,359735880
Namibia,NAM,2016,2479713
New Caledonia,NCL,2016,276550
Niger,NER,2016,20672987
Nigeria,NGA,2016,185989640
Nicaragua,NIC,2016,6149928
Netherlands,NLD,2016,17030314
Norway,NOR,2016,5234519
Nepal,NPL,2016,28982771
Nauru,NRU,2016,13049
New Zealand,NZL,2016,4693200
OECD members,OED,2016,1292855641
Oman,OMN,2016,4424762
Other small states,OSS,2016,30012500
Pakistan,PAK,2016,193203476
Panama,PAN,2016,4034119
Peru,PER,2016,31773839
Philippines,PHL,2016,103320222
Palau,PLW,2016,21503
Papua New Guinea,PNG,2016,8084991
Poland,POL,2016,37970087
Pre-demographic dividend,PRE,2016,879292453
Puerto Rico,PRI,2016,3406520
"Korea, Dem. People’s Rep.",PRK,2016,25368620
Portugal,PRT,2016,10325452
Paraguay,PRY,2016,6725308
West Bank and Gaza,PSE,2016,4551566
Pacific island small states,PSS,2016,2388875
Post-demographic dividend,PST,2016,1102778565
French Polynesia,PYF,2016,280208
Qatar,QAT,2016,2569804
Romania,ROU,2016,19702332
Russian Federation,RUS,2016,144342396
Rwanda,RWA,2016,11917508
South Asia,SAS,2016,1766393714
Saudi Arabia,SAU,2016,32275687
Sudan,SDN,2016,39578828
Senegal,SEN,2016,15411614
Singapore,SGP,2016,5607283
Solomon Islands,SLB,2016,599419
Sierra Leone,SLE,2016,7396190
El Salvador,SLV,2016,6344722
San Marino,SMR,2016,33203
Somalia,SOM,2016,14317996
Serbia,SRB,2016,7058322
Sub-Saharan Africa (excluding high income),SSA,2016,1033118066
South Sudan,SSD,2016,12230730
Sub-Saharan Africa,SSF,2016,1033212743
Small states,SST,2016,39646847
Sao Tome and Principe,STP,2016,199910
Suriname,SUR,2016,558368
Slovak Republic,SVK,2016,5430798
Slovenia,SVN,2016,2065042
Sweden,SWE,2016,9923085
Eswatini,SWZ,2016,1343098
Sint Maarten (Dutch part),SXM,2016,39969
Seychelles,SYC,2016,94677
Syrian Arab Republic,SYR,2016,18430453
Turks and Caicos Islands,TCA,2016,34900
Chad,TCD,2016,14452543
East Asia & Pacific (IDA & IBRD countries),TEA,2016,2027896410
Europe & Central Asia (IDA & IBRD countries),TEC,2016,455379371
Togo,TGO,2016,7606374
Thailand,THA,2016,68863514
Tajikistan,TJK,2016,8734951
Turkmenistan,TKM,2016,5662544
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,621534921
Timor-Leste,TLS,2016,1268671
Middle East & North Africa (IDA & IBRD countries),TMN,2016,369167489
Tonga,TON,2016,107122
South Asia (IDA & IBRD),TSA,2016,1766393714
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,1033212743
Trinidad and Tobago,TTO,2016,1364962
Tunisia,TUN,2016,11403248
Turkey,TUR,2016,79512426
Tuvalu,TUV,2016,11097
Tanzania,TZA,2016,55572201
Uganda,UGA,2016,41487965
Ukraine,UKR,2016,45004645
Upper middle income,UMC,2016,2556921923
Uruguay,URY,2016,3444006
United States,USA,2016,323405935
Uzbekistan,UZB,2016,31847900
St. Vincent and the Grenadines,VCT,2016,109643
"Venezuela, RB",VEN,2016,31568179
British Virgin Islands,VGB,2016,30661
Virgin Islands (U.S.),VIR,2016,107510
Vietnam,VNM,2016,94569072
Vanuatu,VUT,2016,270402
World,WLD,2016,7444157356
Samoa,WSM,2016,195125
Kosovo,XKX,2016,1816200
"Yemen, Rep.",YEM,2016,27584213
South Africa,ZAF,2016,56015473
Zambia,ZMB,2016,16591390
Zimbabwe,ZWE,2016,16150362